NomAgente,VlrEnergiaEconomizadaTotal,VlrRetiradaDemandaPontaTotal,VlrCustoTotal,Score
Celg distribuição s.a.,41698.42,13866.880000000001,1506605.5709090908,0.0031530139124990105
Energisa mato grosso do sul - distribuidora de energia s.a.,11612.029999999999,1717.85,2974768.61,0.0031388458037452343
Companhia força e luz do oeste,1909.46,1126.72,43138.58933333333,0.003020716959498633
Hidropan distribuicao de energia s.a.,1044.22,250.9,104386.22666666667,0.0028873118944635
Companhia energética do maranhão,72068.19,14195.640000000001,541020.5602777778,0.002793951650417305
Amazonas distribuidora de energia s/a,33271.06,9346.52,924309.1292307692,0.0027781944917274573
Hidrelétrica xanxerê ltda,469.11,225.54000000000002,76807.945,0.0025542607445802386
Cia estadual de distribuicao de energia eletrica,280.21,43.71,44995.369999999995,0.0021912108102745864
Companhia piratininga de força e luz,43257.22,9118.44,1828241.6674074072,0.0019115748606711223
Energisa sergipe distribuidora de energia s.a.,233.61,80.52,199999.99,0.00157065
Empresa de distribuição de energia vale paranapanema s/a,1671.32,386.88,474769.62666666665,0.0014991373514128144
Energisa minas gerais - distribuidora de energia s.a,170.57,39.75,142496.97,0.0014759611045791986
Comp. est. de distr. de energia elétrica - ceee-d,2360.87,546.84,22589.0,0.0012833083785408126
Light serviços de eletricidades s. a.,90615.13,5969.12,19741593.65,0.0012495962566950699
Companhia hidroeletrica são patrício - chesp,942.9200000000001,225.22,499754.79,0.0011687131369223468
Enel distribuicao ceara,96665.79,6874.719999999999,2472177.442727273,0.0011551481824412105
Energisa paraiba distribuidora de energia s.a.,762.04,177.67000000000002,443544.38,0.0010759030858579948
Equatorial alagoas,21279.42,810.1299999999999,1572061.1949999998,0.0010282807789756053
Companhia estadual de distribuição de energia elétrica,21960.31,4511.14,1743430.2236363636,0.0010013446609731939
Equatorial energia alagoas,790.22,96.34,466560.83499999996,0.0009500908223601471
Energisa paraíba - distribuidora de energia,7171.08,1781.77,718871.3462500001,0.0009490996253249323
Energisa mato grosso - distribuidora de energia s.a,1250.75,262.56,314530.33714285714,0.0009315539337984931
Equatorial energia maranhão,959.9200000000001,226.59,325677.0475,0.0009112448154074949
Energisa paraíba - distribuidora de energia s.a,3083.47,651.56,382662.7382352942,0.0009105708009878855
Companhia jaguarí de energia,195.44,40.05,259352.2,0.0009079930338746679
Energisa tocantins - distribuidora de energia,2637.58,1171.93,4312192.0,0.0008834277302971953
Energisa minas gerais - distribuidora de energia s.a.,1662.2399999999998,1577.95,426900.74333333335,0.0008615913499577963
Cpfl jaguari (santa cruz),110.45,23.88,157436.59,0.0008532323487676945
Enel distribuicao rio,18619.46,5683.53,332715.8333333333,0.0008372498441872856
03.467.321/0001-99,2574.47,559.94,772718.882,0.000806137858704869
Edp so paulo distribuio de energia s/a,732.06,167.14,1116754.03,0.0008051907293749301
Departamento municipal de energia de ijui,803.08,319.18,457282.435,0.0007998755082077027
Energisa minas rio - distribuidora de energia s/a,460.72,96.84,115379.43,0.0007891628983160387
Energisa tocantins distribuidora de energia s.a.,87.57,1.65,116680.06,0.0007646550092059424
Energisa mato grosso - distribuidora de energia,2820.86,464.55,422039.6354545455,0.0007392060846995896
Enel distribuicao rio,68899.92,10177.97,2223813.55,0.0007370140833727949
Equatorial maranhão distribuidora de energia s.a.,548.24,129.31,309364.8566666667,0.0007306107469124725
Energisa minas gerais distribuidora de energia s.a.,13552.37,7976.240000000001,152804.0342857143,0.0007078839762591447
Energisa tocantins - distribuidora de energia s.a.,3549.24,1475.14,1061539.687777778,0.0006955513925907585
Neoenergia distribuição brasília,2665.14,908.14,5160000.0,0.000692496122688961
Energisa minas gerais - distribuidora de energia s/a,657.3599999999999,139.93,97975.40222222223,0.000688528976887597
Energisa rondônia - distribuidora de energia s.a.,1586.97,209.62,217671.41333333333,0.0006835219971851423
Energisa paraba distribuidora de energia sa,253.48,57.87,465322.96,0.000669105159369201
Energisa minas gerais - distribuidora de energia s.a.,1643.1399999999999,614.86,432099.7466666667,0.0006541493491592833
Companhia energetica do rio grande do norte,12338.77,3228.7299999999996,742708.0188888889,0.000643950138375426
Departamento municipal de energia de ijuí,18.4,47.52,104400.0,0.0006314175640404632
Energisa minas rio - distribuidora de energia s.a,1286.44,489.9,920648.495,0.00061944372336685
Companhia de eletricidade do acre,2210.3,520.67,254168.64055555558,0.0006024990779369764
Energisa rondonia distribuidora energisa s a,1168.36,266.75,2400000.0,0.0005979624975084897
Energisa mato grosso distribuidora de energia s. a.,397.45,78.64,799799.45,0.0005952617172309668
Energisa sergipe - distribuidora de energia sa,16221.22,6948.639999999999,551038.46,0.0005841878880071659
Energisa rondônia - distribuidora de energia s.a,3992.1899999999996,1172.75,3351222.295,0.0005836139755926004
Energisa paraíba distribuidora de energia s.a,1521.12,327.87,279257.448,0.0005762453817277928
Energisa acre - distribuidora de energia s.a,162.84,31.6,340616.79,0.0005708467697424203
Energisa mato grosso - distribuidora de energia s.a,5073.9800000000005,1021.4,685891.02,0.0005697501600608786
Eletropaulo metropolitana eletricidade são paulo,409104.12,227768.97,1329069.87,0.0005669980272218643
Energisa rondonia - distribuidora de energia as,582.78,92.85,1209186.12,0.000558747725629304
Companhia energetica do maranhao,20498.63,6816.52,2446282.4385714284,0.0005574307825275813
Energisa sul sudeste - distribuidora de energia s.a,3020.96,478.76,302271.662,0.0005572378559136613
Energisa sul-sudeste - distribuidora de energia,1420.19,607.66,3644300.0,0.0005564443087658965
Energisa rondônia distribuidora de energia s.a.,1106.96,488.68,2914977.73,0.0005473935454477949
Cersul - cooperativa de distribuição de energia,86.17,19.16,196530.56,0.0005359471557020366
Companhia jaguari de energia eletrica,437.16,49.38,921972.55,0.0005277163563306049
Rge sul distribuidora de energia s.a.,17755.19,4193.27,1836156.342857143,0.0005276825092654616
Rge sul distribuidora de energia,3336.48,484.73,826362.7644444444,0.0005175856002996845
Equatorial alagoas distribuidora de energia s.a.,1945.01,423.68,1612752.6460000002,0.000516860040117594
Energisa sul-sudeste - distribuidora de energia s.a,90.19999999999999,8.89,100612.495,0.0005149357102255281
Edp so paulo distribuio de energia s.a,599.08,141.03,1443898.8,0.0005125774707162477
Light servios de eletricidade s.a,1077.52,246.96,2610173.16,0.000507429934236892
Celesc distribuição s.a,9923.14,1377.47,1473672.4084615384,0.0004887797710708999
Cpfl piratininga,401.14,76.56,499954.225,0.00047774997160706734
Companhia paulista de força e luz - cpfl,2523.96,470.62,837047.8214285715,0.00046686448594505275
Energisa mato grosso - distribuidora de energia s.a.,8935.13,1272.4,1093346.6631578947,0.00046629756454179353
Cooperativa de eletricidade de jacinto machado,87.07,35.81,264000.0,0.0004654545278236921
Companhia sul sergipana de eletricidade,4096.09,1134.67,868575.24,0.00046000376689337075
Companhia de eletricidade do amapa,3006.3500000000004,822.5,3625106.3825000003,0.00045327297917358554
Energisa sul-sudeste - distribuidora de energia s/a,1101.48,387.04,239881.33250000002,0.00044684085200593976
Light serviãos de eletricidade s.a,1730.85,417.73,4839495.76,0.00044396774005238984
Energisa rondônia distribuidora de energia s.a.,759.21,69.16,241322.60874999998,0.0004363138264781428
Centrais elétricas do pará s/a.,1120.47,255.82,3165072.9,0.0004348367444085198
Companhia piratininga de forca e luz,178.15,37.82,500000.0,0.00043193999136120016
Energisa rondônia distribuidora de energia s.a.,239.10999999999999,24.29,156121.8675,0.00043087840113734057
Light serviços de eletricidade s.a,82570.86,13636.11,1968183.1311363636,0.00042129781279655
Light servios de eletricidade s.a.,2260.43,98.2,3502675.95,0.00042089052127950333
Companhia jaguari de energia  cjee (santa cruz),1901.31,322.88,1209058.5533333335,0.00041514621776187074
Cooperativa aliana,258.25,82.77000000000001,438771.0,0.00040404436893122313
Energisa borborema distribuidora de energia s.a.,146.91,34.89,224362.95,0.0004024445645197963
Energisa rondônia  distribuidora de energia sa,2398.97,362.55,526422.2207692307,0.0004015376739279321
Cemig distribuio s.a.,2045.46,342.0,5978750.0,0.00039932427280062844
Empresa luz e forca santa maria s.a.,1288.09,300.65,1332293.09,0.00039907948354181406
Energisa acre - distribuidora de energia s.a.,1586.79,505.27,2148928.6933333334,0.00039088093563323465
Energisa acre distribuidora de energia s.a,79.28,18.1,249938.61,0.00038961565843645933
Energisa nova friburgo distribuidora de energia sa,292.15999999999997,75.51,116519.4,0.00037490020635425416
Companhia piratininga de força e luz  cpfl,1431.33,313.09,4791522.33,0.0003640638352945673
Equatorial maranhão,442.23,51.010000000000005,460281.5,0.00035021609946590517
Companhia paulista de força e luz  cpfl,4108.43,228.25,799456.6435714286,0.00034539284595805396
Celesc distribuição,12901.76,3767.7200000000003,6640838.383333334,0.0003427768854215014
Energisa acre - distribuidora de energia s/a,68.87,16.45,249988.82,0.00034129524907172855
Equatorial maranhao,913.76,56.08,903793.4766666666,0.00032277876759980324
Companhia energética de brasília,118.87,8.14,408267.61,0.0003110949626619912
Equatorial para distribuidora de energia s.a,290.05,59.05,592336.65,0.00031095582067297003
Energisa acre - distribuidora de energia s.a,49.91,4.51,178325.87,0.0003051716329676881
Energisa sergipe - distribuidora de energia s.a.,2984.5,1454.46,13629937.325,0.0003033239100518547
Centrais eletricas de carazinho s.a.,221.98,5.33,755946.97,0.0003006956916475809
Energisa mato grosso distribuidora de energia s.a.,8643.48,5235.45,683166.67,0.00029303432201850286
Energisa rondônia distribuidora de energia sa,28.7,0.36,100369.84,0.0002895291763413017
Companhia energética do piaui,558.65,102.19,2310765.41,0.0002859831613716982
Light serviços de eletricidade s.a.,275674.82,66163.47,1103660.7728571428,0.00027284533907890636
Companhia jaguari de força e luz,111.8,0.0,215355.82,0.0002595704049432978
Dme distribuição s.a,134.73,49.88999999999999,232552.6775,0.00024982941584801767
Companhia paulista de forca e luz,235.29000000000002,8.53,500205.015,0.00024370374854522093
Centrais elétricas pará s/a,1879.47,305.1,4509705.365,0.00024280901783727446
Cpfl paulista,1748.82,400.53000000000003,737246.455,0.0002420966107622582
Equatorial piaui,1890.1399999999999,90.84,2018140.2,0.0002309970571366829
Amazonas energisa s.a.,4161.0,853.33,22126826.79,0.00022661767298689207
Companhia energetica do maranhao s/a,2930.95,815.0,8610520.47,0.00022078782821807053
Companhia santa cruz de força e luz,57.93,0.0,263099.78,0.00022018261588122132
Dcelt distribuidora catarinense de energia eletrica s/a,139.9,40.36,839937.5,0.00021461120363585142
Companhia paulista de energia,103.05,0.61,501500.0,0.00020669989617746966
Equatorial para,96.24,21.64,312297.6,0.00018873023075648897
Companhia de eletricidade do estado da bahia - neoenergia coelba,372.38,54.78,2984200.0,0.00014314053969861088
Energisa nova friburgo - distribuidora de energia s/a,9.79,0.0,37167.845,0.00012982544422261496
Companhia jaguari de energia,1012.67,412.66,238189.285,0.00010885250130264044
Companhia hidroeletrica so patrcio - chesp,318.1,73.4,9675284.96,4.046392444397428e-05
Empresa forca e luz joao cesa ltda,0.0,0.0,154500.0,0.0
28.152.650/0001-71,0.0,0.0,2600000.0,0.0
Energisa paraíba  distribuidora de energia s. a,0.0,0.0,0.0,0.0
Empresa bandeirante energia s.a,113778.01999999999,51067.729999999996,0.0,0.0
Elektro - eletricidade e serviços s/a,49561.34,10906.3,0.0,0.0
Cersul-cooperativa de distribuição de energia,0.0,0.0,484458.0,0.0
Neoenergia distribuição brasília s.a.,0.0,0.0,2916112.01,0.0
Edp são paulo distribuição de energia s.a,0.0,0.0,0.0,0.0
Edp são paulo distribiuição de energia s.a,0.0,0.0,0.0,0.0
Edp espirito santo distribuiçaõ de energia s/a,143.95,28.57,0.0,0.0
Espiríto santo centrais elétricas s/a,25171.37,10862.8,0.0,0.0
Energisa paraiba distribuidora de energia,0.0,0.0,2040054.07,0.0
Edp espírito santo distribuição de energia s.a.,0.0,0.0,700000.0,0.0
Edp distribuição de energia s.a,0.0,0.0,1434292.5,0.0
Companhia de eletricidade do estado da bahia - coelba,0.0,0.0,0.0,0.0
